geometry,category
POINT (116.5 6.25),Natural
POINT (114.91667 4.13333),Natural
POINT (100.345833333 5.4213888889),Cultural
POINT (100.972327778 5.0679083333),Cultural
POINT (-4.555 13.90639),Cultural
POINT (-2.999444444 16.77333333),Cultural
POINT (-3.41667 14.33333),Mixed
POINT (-0.04456 16.2898),Cultural
POINT (14.50739 35.87134),Cultural
POINT (14.51444 35.90056),Cultural
POINT (14.26947 36.04908),Cultural
POINT (165.380555556 11.6),Cultural
POINT (-16.10889 20.23472),Natural
POINT (-98.20833 19.04722),Cultural
POINT (-11.62361 20.92889),Cultural
POINT (57.5031666666 -20.1586388889),Cultural
POINT (57.3283333333 -20.4519444444),Cultural
POINT (-87.79167 19.38333),Natural
POINT (-92.05 17.48333),Cultural
POINT (-99.13278 19.41833),Cultural
POINT (-98.84166999999999 19.69167),Cultural
POINT (-96.72167 17.06194),Cultural
POINT (-101.25556 21.01694),Cultural
POINT (-88.59999999999999 20.66667),Cultural
POINT (-114.22778 27.79222),Natural
POINT (-107.95556 30.37583),Cultural
POINT (-101.19167 19.70444),Cultural
POINT (-97.3775 20.47639),Cultural
POINT (-102.55556 22.76667),Cultural
POINT (-98.89778 18.93472),Cultural
POINT (-112.91611 27.65556),Cultural
POINT (-89.77027778 20.36166667),Cultural
POINT (-100.3666667 20.58333333),Cultural
POINT (-103.3397222 20.67388889),Cultural
POINT (-95.65833333 18.60833333),Cultural
POINT (-90.53722 19.84639),Cultural
POINT (-99.27500000000001 18.81028),Cultural
POINT (-89.7372833333 18.0530277778),Mixed
POINT (-99.46411111 21.20438889),Cultural
POINT (-96.4211111111 16.9508333333),Cultural
POINT (-99.19833333 19.41833333),Cultural
POINT (-112.54583 27.62667),Natural
POINT (-103.778611111 20.8630555555),Cultural
POINT (-99.1880555555 19.3322222222),Cultural
POINT (-100.746388889 20.9144444444),Cultural
POINT (-100.241666667 19.6063888889),Natural
POINT (-102.379166667 22.6080555556),Cultural
POINT (-113.916666667 32),Natural
